id,lon,lat,country
DAUH,6.14,31.673,DZA
DAUG,3.794,32.384,DZA
DAUE,2.86,30.571,DZA
DAUB,5.738,34.793,DZA
DAUA,-0.186,27.839,DZA
DATM,0.924,21.375,DZA
DAOY,1.091,33.721,DZA
DAOV,0.147,35.208,DZA
DAOR,-2.261,31.65,DZA
DAOL,-0.532,35.542,DZA
DAOI,1.332,36.213,DZA
DAOF,-8.167,27.7,DZA
DAOB,1.476,35.345,DZA
DAFH,3.312,32.93,DZA
DABT,6.309,35.752,DZA
DABS,8.121,35.432,DZA
DABC,6.629,36.278,DZA
DABB,7.809,36.822,DZA
DAAY,-0.248,33.532,DZA
DAAV,5.877,36.795,DZA
DAAS,5.33,36.18,DZA
DAAP,8.622,26.724,DZA
DAAJ,9.464,24.286,DZA
DAAE,5.07,36.712,DZA
DAAD,4.206,35.333,DZA
CZZJ,-116.462,53.583,CAN
CZVL,-113.863,53.67,CAN
CZUM,-64.107,53.562,CAN
CZTB,-89.327,48.369,CAN
CZST,-129.984,55.935,CAN
CZSP,-62.576,46.45,CAN
CZSM,-111.929,60.026,CAN
CZSJ,-93.344,53.063,CAN
CZRP,-105.715,75.377,CAN
CZPS,-113.593,52.438,CAN
CZPC,-114.005,49.522,CAN
CZOL,-113.364,53.642,CAN
CZMU,-112.296,53.563,CAN
CZMT,-132.12,54.023,
CZMJ,-105.538,50.332,CAN
CZMD,-91.766,53.439,CAN
CZKD,-96.51,56.037,CAN
CZHY,-115.781,60.839,CAN
CZFS,-121.23,61.76,CAN
CZFN,-125.563,64.908,CAN
CZFA,-133.385,62.211,CAN
CZEV,-133.496,68.313,CAN
CZEM,-78.52,52.23,
CZEL,-80.412,43.642,CAN
CZDB,-63.466,45.422,CAN
CZCR,-66.334,47.99,CAN
CZBF,-65.746,47.628,CAN
CYZY,-123.135,55.303,CAN
CYZX,-64.912,44.985,CAN
CYZW,-132.734,60.175,CAN
CYZV,-66.26,50.217,CAN
CYZU,-115.785,54.142,CAN
CYZT,-127.369,50.685,
CYZS,-83.351,64.188,CAN
CYZR,-82.307,42.995,CAN
